,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,engine-size-cc,power-2-weight-ratio
0,2,164.0,audi,gas,std,4,sedan,Front Wheel Drive,front,99.8,176.6,66.2,54.3,2337,ohc,4,109,mpfi,3.19,3.40,10.0,102,5500,24,30,13950.0,1786,0.043645699614890884
1,2,164.0,audi,gas,std,4,sedan,4 Wheel Drive,front,99.4,176.6,66.4,54.3,2824,ohc,5,136,mpfi,3.19,3.40,8.0,115,5500,18,22,17450.0,2228,0.04072237960339943
2,2,161.0,audi,gas,std,2,sedan,Front Wheel Drive,front,99.8,177.3,66.3,53.1,2507,ohc,5,136,mpfi,3.19,3.40,8.5,110,5500,19,25,15250.0,2228,0.043877143996808934
3,1,158.0,audi,gas,std,4,sedan,Front Wheel Drive,front,105.8,192.7,71.4,55.7,2844,ohc,5,136,mpfi,3.19,3.40,8.5,110,5500,19,25,17710.0,2228,0.03867791842475387
4,1,161.0,audi,gas,std,4,wagon,Front Wheel Drive,front,105.8,192.7,71.4,55.7,2954,ohc,5,136,mpfi,3.19,3.40,8.5,110,5500,19,25,18920.0,2228,0.037237643872714964
5,1,158.0,audi,gas,turbo,4,sedan,Front Wheel Drive,front,105.8,192.7,71.4,55.9,3086,ohc,5,131,mpfi,3.13,3.40,8.3,140,5500,17,20,23875.0,2146,0.04536616979909268
6,0,161.0,audi,gas,turbo,2,hatchback,4 Wheel Drive,front,99.5,178.2,67.9,52.0,3053,ohc,5,131,mpfi,3.13,3.40,7.0,160,5500,16,22,17859.166666666668,2146,0.05240746806419915
7,2,192.0,bmw,gas,std,2,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2395,ohc,4,108,mpfi,3.50,2.80,8.8,101,5800,23,29,16430.0,1769,0.042171189979123176
8,0,192.0,bmw,gas,std,4,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2395,ohc,4,108,mpfi,3.50,2.80,8.8,101,5800,23,29,16925.0,1769,0.042171189979123176
9,0,188.0,bmw,gas,std,2,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2710,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250,21,28,20970.0,2687,0.044649446494464944
